Plant name,Roi,Area,Color,Nod.Strain,numNods in r = 100,num Red  Nods in r = 100,num Green  Nods in r = 100,numNods in r = 150,num Red  Nods in r = 150,num Green  Nods in r = 150,numNods in r = 250,num Red  Nods in r = 250,num Green  Nods in r = 250,numNods in r = 500,num Red  Nods in r = 500,num Green  Nods in r = 500,numNods in r = 1000,num Red  Nods in r = 1000,num Green  Nods in r = 1000,distance to closest nodule,distance to closest Red  nodule,distance to closest Green  nodule,closest color type,mean distance,mean distance to Red  nodules,mean distance to Green  nodules
null,11.0,2455,Red,Red ,0.0,0.0,0.0,2.0,2.0,0.0,11.0,11.0,0.0,44.0,44.0,0.0,137.0,137.0,0.0,120.0,120.0,No Path,Red,838.237,819.538,N/A
null,12.0,1388,Red,Red ,1.0,1.0,0.0,2.0,2.0,0.0,9.0,9.0,0.0,48.0,48.0,0.0,143.0,143.0,0.0,86.0,86.0,No Path,Red,837.995,818.567,N/A
null,13.001,2119,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,109.0,109.0,0.0,168.0,168.0,No Path,Red,1052.228,1033.1,N/A
null,13.002,2025,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,16.0,0.0,102.0,102.0,0.0,168.0,168.0,No Path,Red,1068.363,1047.952,N/A
null,14.0,5313,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,39.0,39.0,0.0,126.0,126.0,0.0,153.0,153.0,No Path,Red,907.967,887.729,N/A
null,15.0,1597,Red,Red ,0.0,0.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,20.0,20.0,0.0,111.0,111.0,0.0,102.0,102.0,No Path,Red,989.409,983.8,N/A
null,16.0,3565,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,33.0,33.0,0.0,109.0,109.0,0.0,153.0,153.0,No Path,Red,978.995,957.51,N/A
null,17.0,8640,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,11.0,0.0,253.0,253.0,No Path,Red,1427.274,1431.141,N/A
null,18.001,7060,Red,Red ,1.0,1.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,13.0,13.0,0.0,89.0,89.0,0.0,53.0,53.0,No Path,Red,1090.0,1083.762,N/A
null,18.002,6266,Red,Red ,0.0,0.0,0.0,3.0,3.0,0.0,6.0,6.0,0.0,26.0,26.0,0.0,131.0,131.0,0.0,114.0,114.0,No Path,Red,919.949,913.143,N/A
null,18.003,3422,Red,Red ,0.0,0.0,0.0,3.0,3.0,0.0,7.0,7.0,0.0,21.0,21.0,0.0,112.0,112.0,0.0,102.0,102.0,No Path,Red,967.057,962.335,N/A
null,18.004,4593,Red,Red ,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,12.0,12.0,0.0,75.0,75.0,0.0,53.0,53.0,No Path,Red,1142.744,1136.5,N/A
null,18.005,5508,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,11.0,11.0,0.0,61.0,61.0,0.0,154.0,154.0,No Path,Red,1197.7,1191.455,N/A
null,18.006,6736,Red,Red ,0.0,0.0,0.0,1.0,1.0,0.0,7.0,7.0,0.0,24.0,24.0,0.0,115.0,115.0,0.0,114.0,114.0,No Path,Red,975.74,968.805,N/A
null,18.007,5302,Red,Red ,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,15.0,15.0,0.0,99.0,99.0,0.0,126.0,126.0,No Path,Red,1058.621,1053.888,N/A
null,19.0,2495,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,654.0,654.0,No Path,Red,1627.06,1605.143,N/A
null,20.0,2940,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,75.0,75.0,0.0,279.0,279.0,No Path,Red,1237.353,1215.777,N/A
null,21.0,18549,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,253.0,253.0,No Path,Red,1645.035,1648.869,N/A
null,22.0,22939,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,336.0,336.0,No Path,Red,1935.582,1939.402,N/A
null,23.0,2679,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,35.0,35.0,0.0,279.0,279.0,No Path,Red,1465.246,1443.644,N/A
null,24.0,1597,Mixed,Mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,895.0,895.0,No Path,Red,1555.61,1555.61,N/A
