Plant name,Roi,Area,Color,Nod.Strain,numNods in r = 100,num Red  Nods in r = 100,num Green  Nods in r = 100,numNods in r = 150,num Red  Nods in r = 150,num Green  Nods in r = 150,numNods in r = 250,num Red  Nods in r = 250,num Green  Nods in r = 250,numNods in r = 500,num Red  Nods in r = 500,num Green  Nods in r = 500,numNods in r = 1000,num Red  Nods in r = 1000,num Green  Nods in r = 1000,distance to closest nodule,distance to closest Red  nodule,distance to closest Green  nodule,closest color type,mean distance,mean distance to Red  nodules,mean distance to Green  nodules
null,1.0,2448,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,67.0,67.0,0.0,155.0,155.0,No Path,Red,1257.716,1241.092,N/A
null,2.0,1530,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,86.0,86.0,0.0,155.0,155.0,No Path,Red,1165.156,1148.544,N/A
null,3.0,2593,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,812.0,812.0,No Path,Red,1460.763,1442.481,N/A
null,4.0,4731,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,90.0,90.0,0.0,407.0,407.0,No Path,Red,1106.893,1107.1,N/A
null,5.001,3927,Red,Red ,1.0,1.0,0.0,2.0,2.0,0.0,15.0,15.0,0.0,66.0,66.0,0.0,176.0,176.0,0.0,67.0,67.0,No Path,Red,722.656,705.781,N/A
null,5.002,7938,Red,Red ,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,20.0,20.0,0.0,114.0,114.0,0.0,102.0,102.0,No Path,Red,974.019,955.833,N/A
null,5.003,5079,Red,Red ,1.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,27.0,27.0,0.0,121.0,121.0,0.0,89.0,89.0,No Path,Red,931.375,913.468,N/A
null,5.004,5783,Red,Red ,0.0,0.0,0.0,1.0,1.0,0.0,7.0,7.0,0.0,62.0,62.0,0.0,175.0,175.0,0.0,135.0,135.0,No Path,Red,730.767,717.1,N/A
null,5.005,5880,Red,Red ,2.0,2.0,0.0,2.0,2.0,0.0,15.0,15.0,0.0,74.0,74.0,0.0,177.0,177.0,0.0,38.0,38.0,No Path,Red,692.635,677.364,N/A
null,5.006,5478,Red,Red ,1.0,1.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,25.0,25.0,0.0,115.0,115.0,0.0,89.0,89.0,No Path,Red,959.163,940.98,N/A
null,5.007,6129,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,66.0,66.0,0.0,180.0,180.0,0.0,158.0,158.0,No Path,Red,699.865,687.086,N/A
null,5.008,4961,Red,Red ,2.0,2.0,0.0,3.0,3.0,0.0,11.0,11.0,0.0,74.0,74.0,0.0,178.0,178.0,0.0,67.0,67.0,No Path,Red,702.149,686.876,N/A
null,5.009,3844,Red,Red ,2.0,2.0,0.0,2.0,2.0,0.0,15.0,15.0,0.0,74.0,74.0,0.0,177.0,177.0,0.0,38.0,38.0,No Path,Red,690.645,675.374,N/A
null,5.001,4525,Red,Red ,0.0,0.0,0.0,3.0,3.0,0.0,8.0,8.0,0.0,60.0,60.0,0.0,164.0,164.0,0.0,110.0,110.0,No Path,Red,777.772,761.014,N/A
null,5.0011,3861,Red,Red ,0.0,0.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,52.0,52.0,0.0,158.0,158.0,0.0,137.0,137.0,No Path,Red,815.567,798.971,N/A
null,5.0012,4983,Red,Red ,1.0,1.0,0.0,3.0,3.0,0.0,11.0,11.0,0.0,59.0,59.0,0.0,171.0,171.0,0.0,67.0,67.0,No Path,Red,745.409,728.405,N/A
null,5.0013,4328,Red,Red ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,15.0,15.0,0.0,102.0,102.0,0.0,194.0,194.0,No Path,Red,1049.778,1031.502,N/A
null,6.0,580,Red,Red ,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,40.0,40.0,0.0,162.0,159.0,0.0,116.0,116.0,No Path,Red,801.074,796.024,N/A
null,7.001,1889,Red,Red ,2.0,2.0,0.0,2.0,2.0,0.0,13.0,13.0,0.0,65.0,65.0,0.0,171.0,171.0,0.0,48.0,48.0,No Path,Red,745.019,727.356,N/A
null,7.002,1422,Red,Red ,1.0,1.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,58.0,58.0,0.0,161.0,161.0,0.0,48.0,48.0,No Path,Red,792.787,775.119,N/A
null,8.0,1116,Red,Red ,1.0,1.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,57.0,57.0,0.0,159.0,159.0,0.0,53.0,53.0,No Path,Red,797.763,780.094,N/A
null,9.0,835,Red,Red ,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,33.0,33.0,0.0,155.0,151.0,0.0,116.0,116.0,No Path,Red,832.66,829.414,N/A
null,10.0,381,Red,Red ,1.0,1.0,0.0,2.0,2.0,0.0,9.0,9.0,0.0,55.0,55.0,0.0,144.0,144.0,0.0,86.0,86.0,No Path,Red,822.921,803.619,N/A
