0,null,1635,1463,804,881,923,823,860,866,866,823,858,769,800,773,1033,1098,865,913,918,1172,1040,1030,1061,1262,1332,1165,1349,1254,1803,1449,1266,1317,1502,1557,1332,1409,1954,1516,2024,2316,1745,1936
null,0,1542,1370,711,788,830,730,767,773,773,730,765,676,707,680,940,1005,772,820,825,1079,947,937,968,1169,1239,1072,1256,1161,1710,1356,1173,1224,1409,1464,1239,1316,1861,1423,1931,2223,1652,1843
1635,1542,0,1736,1006,1346,1308,1139,1007,1331,1127,1036,1005,1125,1156,1051,1456,1371,887,935,940,1445,1018,1052,1023,1458,1322,1127,1610,1216,2091,1698,1527,1606,1751,1806,1593,1698,1606,1478,2312,2604,1707,2224
1463,1370,1736,0,920,1235,1178,842,859,1220,734,864,857,1002,1033,957,1326,679,966,1014,1019,507,1141,1131,1162,1363,1433,1266,735,1355,927,852,718,667,905,960,784,759,2055,1617,1148,1440,1846,1060
804,711,1006,920,0,437,479,312,188,422,315,209,186,347,378,351,589,555,431,479,484,629,367,533,372,633,671,476,798,565,1275,915,715,798,968,1023,781,890,1281,827,1496,1788,1056,1408
881,788,1346,1235,437,0,256,569,503,299,633,466,501,318,433,406,388,870,576,624,629,944,727,741,732,973,1031,836,1116,925,1583,1229,1033,1097,1282,1337,1099,1189,1641,1187,1804,2096,1416,1716
923,830,1308,1178,479,256,0,512,446,296,575,409,444,360,475,448,311,813,579,627,632,887,669,744,674,935,973,778,1058,867,1525,1171,975,1039,1224,1279,1041,1131,1583,1129,1746,2038,1358,1658
823,730,1139,842,312,569,512,0,195,554,307,224,193,362,393,357,660,477,369,417,422,551,544,534,565,766,836,669,722,758,1158,804,639,672,857,912,705,764,1458,1020,1379,1671,1249,1291
860,767,1007,859,188,503,446,195,0,488,304,304,null,299,330,225,594,494,237,285,290,568,412,402,433,634,704,537,739,626,1175,821,656,689,874,929,722,781,1326,888,1396,1688,1117,1308
866,773,1331,1220,422,299,296,554,488,0,618,451,486,303,418,391,318,855,561,609,614,929,712,726,717,958,1016,821,1101,910,1568,1214,1018,1082,1267,1322,1084,1174,1626,1172,1789,2081,1401,1701
866,773,1127,734,315,633,575,307,304,618,0,267,302,392,423,346,723,369,364,412,417,432,488,529,493,754,792,597,660,686,1089,684,619,592,737,792,620,684,1402,948,1310,1602,1177,1222
823,730,1036,864,209,466,409,224,304,451,267,0,302,316,359,254,557,499,266,314,319,573,441,431,462,663,733,566,750,655,1204,850,667,718,903,958,733,810,1355,917,1425,1717,1146,1337
858,765,1005,857,186,501,444,193,null,486,302,302,0,297,328,223,592,492,235,283,288,566,410,400,431,632,702,535,737,624,1173,819,654,687,872,927,720,779,1324,886,1394,1686,1115,1306
769,676,1125,1002,347,318,360,362,299,303,392,316,297,0,485,392,470,637,396,444,449,711,486,561,491,752,790,595,875,684,1342,988,792,856,1041,1096,858,948,1400,946,1563,1855,1175,1475
800,707,1156,1033,378,433,475,393,330,418,423,359,328,485,0,423,585,668,427,475,480,742,517,592,522,783,821,626,906,715,1373,1019,823,887,1072,1127,889,979,1431,977,1594,1886,1206,1506
773,680,1051,957,351,406,448,357,225,391,346,254,223,392,423,0,558,592,400,448,453,666,412,565,417,678,716,521,829,610,1312,946,746,829,999,1054,812,921,1326,872,1533,1825,1101,1445
1033,940,1456,1326,589,388,311,660,594,318,723,557,592,470,585,558,0,961,727,775,780,1035,817,892,822,1083,1121,926,1206,1015,1673,1319,1123,1187,1372,1427,1189,1279,1731,1277,1894,2186,1506,1806
1098,1005,1371,679,555,870,813,477,494,855,369,499,492,637,668,592,961,0,601,649,654,210,776,766,797,998,1068,901,438,990,810,555,381,370,608,663,447,462,1690,1252,1031,1323,1481,943
865,772,887,966,431,576,579,369,237,561,364,266,235,396,427,400,727,601,0,null,null,675,230,396,235,514,534,339,847,428,1321,928,764,836,981,1036,830,928,1156,690,1542,1834,919,1454
913,820,935,1014,479,624,627,417,285,609,412,314,283,444,475,448,775,649,null,0,null,723,278,444,283,562,582,387,895,476,1369,976,812,884,1029,1084,878,976,1204,738,1590,1882,967,1502
918,825,940,1019,484,629,632,422,290,614,417,319,288,449,480,453,780,654,null,null,0,728,283,449,288,567,587,392,900,481,1374,981,817,889,1034,1089,883,981,1209,743,1595,1887,972,1507
1172,1079,1445,507,629,944,887,551,568,929,432,573,566,711,742,666,1035,210,675,723,728,0,850,840,871,1072,1142,975,383,1064,816,500,341,376,553,608,407,468,1764,1326,1037,1329,1555,949
1040,947,1018,1141,367,727,669,544,412,712,488,441,410,486,517,412,817,776,230,278,283,850,0,151,151,568,432,242,971,311,1496,1088,888,971,1141,1196,954,1063,1053,573,1717,2009,802,1629
1030,937,1052,1131,533,741,744,534,402,726,529,431,400,561,592,565,892,766,396,444,449,840,151,0,156,574,438,245,1012,317,1486,1093,929,1001,1146,1201,995,1093,1059,579,1707,1999,808,1619
1061,968,1023,1162,372,732,674,565,433,717,493,462,431,491,522,417,822,797,235,283,288,871,151,156,0,540,404,214,976,283,1517,1093,893,976,1146,1201,959,1068,1025,545,1738,2030,774,1650
1262,1169,1458,1363,633,973,935,766,634,958,754,663,632,752,783,678,1083,998,514,562,567,1072,568,574,540,0,949,502,1237,828,1718,1325,1154,1233,1378,1433,1220,1325,821,1090,1939,2231,1319,1851
1332,1239,1322,1433,671,1031,973,836,704,1016,792,733,702,790,821,716,1121,1068,534,582,587,1142,432,438,404,949,0,366,1275,898,1788,1392,1192,1275,1445,1500,1258,1367,685,1160,2009,2301,1389,1921
1165,1072,1127,1266,476,836,778,669,537,821,597,566,535,595,626,521,926,901,339,387,392,975,242,245,214,502,366,0,1080,245,1621,1197,997,1080,1250,1305,1063,1172,927,507,1842,2134,736,1754
1349,1256,1610,735,798,1116,1058,722,739,1101,660,750,737,875,906,829,1206,438,847,895,900,383,971,1012,976,1237,1275,1080,0,1169,1090,377,271,543,430,485,201,635,1885,1431,1311,1603,1660,1223
1254,1161,1216,1355,565,925,867,758,626,910,686,655,624,684,715,610,1015,990,428,476,481,1064,311,317,283,828,898,245,1169,0,1710,1286,1086,1169,1339,1394,1152,1261,996,null,1931,2223,null,1843
