Plant.ID,Planting.group,Species,Domestication,Accession,Rhizobia,N.treatment,Shade,Block,Position,random,Nodule.notes,Shoot.weight,Date,Roots.,Flowers,Pods,Stems,Notes
PS098,G7,elat,Wild,E2,Fix+,HN,NS,B2,P38,0.049057389,,0.4446,1/9/2023,n,0.0,1,1.0,
PS099,G18,sat,Domesticated,S2,Mix1,LN,NS,B2,P39,0.269037724,,0.7688,1/9/2023,n,1.0,1,1.0,
PS100,G6,sat,Domesticated,S2,Fix-,LN,NS,B2,P40,0.826803871,,0.5119,1/9/2023,n,0.0,1,1.0,
PS102,G1,elat,Wild,E2,Fix-,HN,NS,B2,P42,0.509430292,,0.4457,1/9/2023,n,1.0,1,1.0,
PS103,G5,sat,Domesticated,S2,Fix-,HN,NS,B2,P43,0.690599081,,1.1602,1/9/2023,y,1.0,1,1.0,
PS105,G19,elat,Wild,E2,Mix2,HN,NS,B2,P45,0.230614927,No sure green nods,0.4653,1/9/2023,n,0.0,2,1.0,
PS106,G12,sat,Domesticated,S2,Fix+,LN,NS,B2,P46,0.83458873,,1.0963,1/9/2023,y,0.0,2,1.0,
PS111,G17,sat,Domesticated,S2,Mix1,HN,NS,B2,P51,0.725290978,,0.9663,1/9/2023,n,1.0,1,1.0,
PS115,G9,ful,Wild,F2,Fix+,HN,NS,B2,P55,0.111233352,,0.3676,1/9/2023,n,1.0,0,1.0,
PS116,G20,elat,Wild,E2,Mix2,LN,NS,B2,P56,0.580872604,No mixed nods,0.3246,1/9/2023,y,0.0,1,1.0,
PS119,G13,elat,Wild,E2,Mix1,HN,NS,B2,P59,0.013149782,,0.2764,1/9/2023,y,0.0,1,1.0,
PS122,G10,ful,Wild,F3,Fix+,LN,50%,B3,P2,0.71408703,,0.2694,2/1/2023,y,0.0,0,1.0,
PS124,G15,ful,Wild,F3,Mix1,HN,50%,B3,P4,0.467353591,,0.2749,2/1/2023,n,1.0,0,1.0,
PS125,G2,elat,Wild,E3,Fix-,LN,50%,B3,P5,0.27519491,,0.1614,2/1/2023,n,0.0,0,1.0,
PS126,G13,elat,Wild,E3,Mix1,HN,50%,B3,P6,0.041896574,,0.6261,2/1/2023,y,0.0,0,1.0,
PS129,G11,sat,Domesticated,S3,Fix+,HN,50%,B3,P9,0.782191421,,0.8817,2/1/2023,n,0.0,1,1.0,
PS130,G18,sat,Domesticated,S3,Mix1,LN,50%,B3,P10,0.482194932,,0.9481,2/1/2023,n,0.0,1,1.0,
PS131,G7,elat,Wild,E3,Fix+,HN,50%,B3,P11,0.561883848,,0.2279,2/1/2023,n,0.0,0,1.0,
PS132,G8,elat,Wild,E3,Fix+,LN,50%,B3,P12,0.364479882,,0.2495,2/1/2023,n,0.0,0,1.0,
