Plant.ID,Planting.group,Species,Domestication,Accession,Rhizobia,N.treatment,Shade,Block,Position,random,Nodule.notes,Shoot.weight,Date,Roots.,Flowers,Pods,Stems,Notes
PS375,G3,ful,Wild,F7,Fix-,HN,50%,B7,P15,0.063955708,,0.1196,12/16/2022,n,0.0,0,1.0,
PS377,G17,sat,Domesticated,S7,Mix1,HN,50%,B7,P17,0.358604525,,0.5522,12/16/2022,n,0.0,1,1.0,
PS381,G5,sat,Domesticated,S7,Fix-,HN,50%,B7,P21,0.737480348,,0.6567,12/16/2022,n,0.0,2,1.0,note: looks like sand on sample
PS386,G6,sat,Domesticated,S7,Fix-,LN,50%,B7,P26,0.627004314,,0.3098,12/16/2022,n,0.0,1,1.0,
PS387,G24,sat,Domesticated,S7,Mix2,LN,50%,B7,P27,0.442994875,,0.3037,12/16/2022,y,0.0,1,1.0,
PS389,G11,sat,Domesticated,S7,Fix+,HN,50%,B7,P29,0.690181225,,0.4951,12/16/2022,n,0.0,1,1.0,
PS392,G6,sat,Domesticated,S7,Fix-,LN,NS,B7,P32,0.160350014,,0.4004,1/11/2023,n,0.0,1,1.0,
PS396,G11,sat,Domesticated,S7,Fix+,HN,NS,B7,P36,0.293731578,,0.7744,1/11/2023,n,0.0,1,1.0,
PS397,G14,elat,Wild,E7,Mix1,LN,NS,B7,P37,0.239826596,,0.3064,1/11/2023,n,0.0,0,1.0,
PS398,G8,elat,Wild,E7,Fix+,LN,NS,B7,P38,0.238446407,,0.3245,1/11/2023,n,0.0,0,1.0,
PS399,G2,elat,Wild,E7,Fix-,LN,NS,B7,P39,0.656884208,,0.1751,1/11/2023,n,0.0,0,1.0,
PS400,G19,elat,Wild,E7,Mix2,HN,NS,B7,P40,0.967754093,,0.4877,1/11/2023,n,0.0,0,1.0,
PS401,G12,sat,Domesticated,S7,Fix+,LN,NS,B7,P41,0.302805421,,0.4451,1/11/2023,y,0.0,2,1.0,
PS402,G20,elat,Wild,E7,Mix2,LN,NS,B7,P42,0.831316993,,0.3847,1/11/2023,n,0.0,0,1.0,
PS404,G7,elat,Wild,E7,Fix+,HN,NS,B7,P44,0.112584297,,0.2172,1/11/2023,n,0.0,0,1.0,
PS405,G5,sat,Domesticated,S7,Fix-,HN,NS,B7,P45,0.705146236,,0.5767,1/11/2023,n,0.0,1,1.0,
PS406,G17,sat,Domesticated,S7,Mix1,HN,NS,B7,P46,0.70226635,,0.6589,1/11/2023,n,0.0,1,1.0,
PS411,G4,ful,Wild,F7,Fix-,LN,NS,B7,P51,0.552757916,,0.1152,1/13/2023,n,0.0,0,1.0,
PS413,G18,sat,Domesticated,S7,Mix1,LN,NS,B7,P53,0.304890768,,0.4396,1/13/2023,y,0.0,1,1.0,
PS416,G1,elat,Wild,E7,Fix-,HN,NS,B7,P56,0.203734947,,0.1565,1/13/2023,n,0.0,0,1.0,
PS420,G24,sat,Domesticated,S7,Mix2,LN,NS,B7,P60,0.530864805,,0.6677,1/13/2023,y,0.0,1,1.0,
PS039,G24,sat,Domesticated,S1,Mix2,LN,NS,B1,P39,0.487032148,,0.7814,10/28/2022,y,1.0,1,1.0,
PS045,G12,sat,Domesticated,S1,Fix+,LN,NS,B1,P45,0.208414293,,1.0239,10/28/2022,y,1.0,1,1.0,
PS059,G11,sat,Domesticated,S1,Fix+,HN,NS,B1,P59,0.065581073,,0.7842,10/28/2022,y,1.0,1,1.0,
PS101,G24,sat,Domesticated,S2,Mix2,LN,NS,B2,P41,0.24407667,,0.6026,1/9/2023,n,1.0,0,1.0,dropped sample onto table
PS150,G20,elat,Wild,E3,Mix2,LN,50%,B3,P30,0.30282151,,0.4146,2/3/2023,y,0.0,0,1.0,
PS151,G24,sat,Domesticated,S3,Mix2,LN,NS,B3,P31,0.131926197,,0.7329,1/17/2023,y,0.0,1,1.0,
PS157,G15,ful,Wild,F3,Mix1,HN,NS,B3,P37,0.472090443,,0.1619,1/13/2023,n,0.0,0,1.0,
PS205,G3,ful,Wild,F4,Fix-,HN,50%,B4,P25,0.639076388,,0.21,3/3/2023,n,0.0,0,1.0,
PS206,G2,elat,Wild,E4,Fix-,LN,50%,B4,P26,0.919685753,,0.2158,3/3/2023,n,0.0,0,1.0,
PS228,G13,elat,Wild,E4,Mix1,HN,NS,B4,P48,0.387524035,,0.4565,2/3/2023,n,1.0,0,1.0,
PS229,G7,elat,Wild,E4,Fix+,HN,NS,B4,P49,0.832313253,,0.1389,2/3/2023,n,0.0,0,1.0,
PS236,G24,sat,Domesticated,S4,Mix2,LN,NS,B4,P56,0.26635242,,0.9041,2/10/2023,y,0.0,2,1.0,
PS286,G1,elat,Wild,E5,Fix-,HN,NS,B5,P46,0.458662006,,0.2048,3/3/2023,y,0.0,0,1.0,
PS287,G19,elat,Wild,E5,Mix2,HN,NS,B5,P47,0.524689729,,0.3819,3/3/2023,n,0.0,0,1.0,
PS322,G24,sat,Domesticated,S6,Mix2,LN,50%,B6,P22,0.862750826,,0.5784,3/6/2023,n,0.0,1,1.0,
PS341,G23,sat,Domesticated,S6,Mix2,HN,NS,B6,P41,0.011786068,,0.9942,2/10/2023,n,0.0,2,1.0,
PS390,G1,elat,Wild,E7,Fix-,HN,50%,B7,P30,0.603844239,,0.3642,12/16/2022,y,0.0,0,1.0,
PS394,G13,elat,Wild,E7,Mix1,HN,NS,B7,P34,0.292769997,,0.3758,1/11/2023,y,0.0,0,1.0,
PS408,G23,sat,Domesticated,S7,Mix2,HN,NS,B7,P48,0.648178799,,0.8616,1/11/2023,n,0.0,1,1.0,
PS091,G8,elat,Wild,E2,Fix+,LN,NS,B2,P31,0.506029971,,0.2051,12/15/2022,y,0.0,1,1.0,
PS379,G14,elat,Wild,E7,Mix1,LN,50%,B7,P19,0.847750688,,0.3757,12/16/2022,n,0.0,0,1.0,
PS109,G16,ful,Wild,F2,Mix1,LN,NS,B2,P49,0.61923473,,0.202,1/9/2023,n,0.0,0,1.0,
PS181,G20,elat,Wild,E4,Mix2,LN,50%,B4,P1,0.499997097,,0.1613,3/3/2023,n,0.0,0,1.0,
PS415,G10,ful,Wild,F7,Fix+,LN,NS,B7,P55,0.914712599,,0.1212,1/13/2023,y,0.0,1,1.0,
